[1, 2, 0, 3, 5, 4] : 7
[1, 2, 0, 4, 3, 5] : 6
[1, 2, 0, 4, 5, 3] : 7
[1, 2, 0, 5, 3, 4] : 7
[1, 2, 0, 5, 4, 3] : 7
[1, 2, 3, 0, 4, 5] : 9
[1, 2, 3, 0, 5, 4] : 10
[1, 2, 3, 4, 0, 5] : 9
[1, 2, 3, 4, 5, 0] : 10
[1, 2, 3, 5, 0, 4] : 10
[1, 2, 3, 5, 4, 0] : 10
[1, 2, 4, 0, 3, 5] : 10
[1, 2, 4, 0, 5, 3] : 11
[1, 2, 4, 3, 0, 5] : 10
[1, 2, 4, 3, 5, 0] : 11
[1, 2, 4, 5, 0, 3] : 11
[1, 2, 4, 5, 3, 0] : 11
[1, 2, 5, 0, 3, 4] : 10
[1, 2, 5, 0, 4, 3] : 11
[1, 2, 5, 3, 0, 4] : 10
[1, 2, 5, 3, 4, 0] : 11
[1, 2, 5, 4, 0, 3] : 11
[1, 2, 5, 4, 3, 0] : 11
[1, 3, 0, 2, 4, 5] : 10
[1, 3, 0, 2, 5, 4] : 11
[1, 3, 0, 4, 2, 5] : 10
[1, 3, 0, 4, 5, 2] : 11
[1, 3, 0, 5, 2, 4] : 11
[1, 3, 0, 5, 4, 2] : 11
[1, 3, 2, 0, 4, 5] : 10
[1, 3, 2, 0, 5, 4] : 11
[1, 3, 2, 4, 0, 5] : 10
[1, 3, 2, 4, 5, 0] : 11
[1, 3, 2, 5, 0, 4] : 11
[1, 3, 2, 5, 4, 0] : 11
[1, 3, 4, 0, 2, 5] : 10
[1, 3, 4, 0, 5, 2] : 11
[1, 3, 4, 2, 0, 5] : 10
[1, 3, 4, 2, 5, 0] : 11
[1, 3, 4, 5, 0, 2] : 11
[1, 3, 4, 5, 2, 0] : 11
[1, 3, 5, 0, 2, 4] : 10
[1, 3, 5, 0, 4, 2] : 11
[1, 3, 5, 2, 0, 4] : 10
[1, 3, 5, 2, 4, 0] : 11
[1, 3, 5, 4, 0, 2] : 11
[1, 3, 5, 4, 2, 0] : 11
[1, 4, 0, 2, 3, 5] : 11
[1, 4, 0, 2, 5, 3] : 12
[1, 4, 0, 3, 2, 5] : 11
[1, 4, 0, 3, 5, 2] : 12
[1, 4, 0, 5, 2, 3] : 12
[1, 4, 0, 5, 3, 2] : 12
[1, 4, 2, 0, 3, 5] : 11
[1, 4, 2, 0, 5, 3] : 12
[1, 4, 2, 3, 0, 5] : 11
[1, 4, 2, 3, 5, 0] : 12
[1, 4, 2, 5, 0, 3] : 12
[1, 4, 2, 5, 3, 0] : 12
[1, 4, 3, 0, 2, 5] : 11
[1, 4, 3, 0, 5, 2] : 12
[1, 4, 3, 2, 0, 5] : 11
[1, 4, 3, 2, 5, 0] : 12
[1, 4, 3, 5, 0, 2] : 12
[1, 4, 3, 5, 2, 0] : 12
[1, 4, 5, 0, 2, 3] : 9
[1, 4, 5, 0, 3, 2] : 10
[1, 4, 5, 2, 0, 3] : 9
[1, 4, 5, 2, 3, 0] : 10
[1, 4, 5, 3, 0, 2] : 10
[1, 4, 5, 3, 2, 0] : 10
[1, 5, 0, 2, 3, 4] : 11
[1, 5, 0, 2, 4, 3] : 12
[1, 5, 0, 3, 2, 4] : 11
[1, 5, 0, 3, 4, 2] : 12
[1, 5, 0, 4, 2, 3] : 12
[1, 5, 0, 4, 3, 2] : 12
[1, 5, 2, 0, 3, 4] : 11
[1, 5, 2, 0, 4, 3] : 12
[1, 5, 2, 3, 0, 4] : 11
[1, 5, 2, 3, 4, 0] : 12
[1, 5, 2, 4, 0, 3] : 12
[1, 5, 2, 4, 3, 0] : 12
[1, 5, 3, 0, 2, 4] : 11
[1, 5, 3, 0, 4, 2] : 12
[1, 5, 3, 2, 0, 4] : 11
[1, 5, 3, 2, 4, 0] : 12
[1, 5, 3, 4, 0, 2] : 12
[1, 5, 3, 4, 2, 0] : 12
[1, 5, 4, 0, 2, 3] : 10
[1, 5, 4, 0, 3, 2] : 11
[1, 5, 4, 2, 0, 3] : 10
[1, 5, 4, 2, 3, 0] : 11
[1, 5, 4, 3, 0, 2] : 11
[1, 5, 4, 3, 2, 0] : 11
[2, 0, 1, 3, 4, 5] : 6
[2, 0, 1, 3, 5, 4] : 7
[2, 0, 1, 4, 3, 5] : 6
[2, 0, 1, 4, 5, 3] : 7
[2, 0, 1, 5, 3, 4] : 7
[2, 0, 1, 5, 4, 3] : 7
[2, 0, 3, 1, 4, 5] : 9
[2, 0, 3, 1, 5, 4] : 10
[2, 0, 3, 4, 1, 5] : 9
[2, 0, 3, 4, 5, 1] : 10
[2, 0, 3, 5, 1, 4] : 10
[2, 0, 3, 5, 4, 1] : 10
[2, 0, 4, 1, 3, 5] : 10
[2, 0, 4, 1, 5, 3] : 11
[2, 0, 4, 3, 1, 5] : 10
[2, 0, 4, 3, 5, 1] : 11
[2, 0, 4, 5, 1, 3] : 11
[2, 0, 4, 5, 3, 1] : 11
[2, 0, 5, 1, 3, 4] : 10
[2, 0, 5, 1, 4, 3] : 11
[2, 0, 5, 3, 1, 4] : 10
[2, 0, 5, 3, 4, 1] : 11
[2, 0, 5, 4, 1, 3] : 11
[2, 0, 5, 4, 3, 1] : 11
